l1;td1;rs1;l2;td2;rs2;l3;td3;rs3
171.00000;0.00556;0.87500;0.00000;0.50000;0.87500;0.00000;0.05026;0.87500
171.00000;0.01058;0.87500;171.47743;0.03283;0.87500;172.22223;0.04798;0.87500
171.00000;0.01010;0.87500;171.47743;0.02963;0.87500;172.22223;0.01481;0.87500
171.00000;0.50483;0.87500;171.47743;0.04728;0.87500;172.22223;0.02837;0.87500
171.00000;0.02268;0.87500;171.47743;0.00000;0.87500;172.22223;0.03175;0.87500
191.11014;0.04222;0.87500;171.47743;0.02889;0.87500;172.22223;0.02222;0.87500
191.11014;0.01068;0.87500;197.88510;0.06197;0.87500;197.89740;0.03419;0.87500
191.11014;0.09877;0.87500;197.88510;0.01852;0.87500;197.89740;0.03704;0.87500
191.11014;0.02800;0.87500;197.88510;0.02200;0.87500;197.89740;0.00200;0.87500
191.11014;0.03314;0.87500;197.88510;0.00780;0.87500;197.89740;0.02924;0.87500
231.78279;0.05838;0.87500;197.88510;0.07721;0.87500;197.89740;0.03202;0.87500
231.78279;0.02385;0.87500;266.84747;0.05872;0.87500;223.67094;0.02752;0.87500
231.78279;0.04839;0.87500;266.84747;0.00538;0.87500;223.67094;0.05197;0.87500
231.78279;0.03299;0.87500;266.84747;0.02604;0.87500;223.67094;0.02951;0.87500
231.78279;0.02542;0.87500;266.84747;0.00508;0.87500;223.67094;0.02373;0.87500
371.28714;0.02961;0.87500;266.84747;0.03454;0.87500;223.67094;0.03125;0.87500
371.28714;0.01610;0.87500;392.03754;0.04348;0.87500;388.55682;0.01771;0.87500
371.28714;0.00945;0.87500;392.03754;0.00787;0.87500;388.55682;0.02205;0.87500
371.28714;0.03216;0.87500;392.03754;0.02603;0.87500;388.55682;0.01531;0.87500
371.28714;0.01652;0.84375;392.03754;0.01351;0.87500;388.55682;0.02102;0.87500
449.19028;0.01618;0.84375;392.03754;0.00588;0.87500;388.55682;0.01912;0.87500
449.19028;0.02149;0.84375;439.45930;0.03009;0.87500;451.89010;0.02722;0.87500
449.19028;0.02514;0.84375;439.45930;0.01816;0.87500;451.89010;0.02374;0.87500
449.19028;0.01793;0.84375;439.45930;0.01517;0.87500;451.89010;0.00138;0.87500
449.19028;0.03903;0.81250;439.45930;0.02153;0.87500;451.89010;0.02423;0.87500
367.30847;0.06833;0.81250;439.45930;0.02102;0.87500;451.89010;0.04599;0.87500
367.30847;0.04675;0.81250;474.16940;0.01688;0.87500;502.80835;0.05844;0.87500
367.30847;0.07360;0.81250;474.16940;0.02665;0.87500;502.80835;0.07741;0.87500
367.30847;0.06328;0.87500;474.16940;0.03970;0.87500;502.80835;0.09677;0.87500
367.30847;0.13592;0.84375;474.16940;0.07767;0.87500;502.80835;0.11650;0.87500
412.81310;0.10084;0.84375;474.16940;0.06002;0.87500;502.80835;0.12845;0.87500
412.81310;0.02468;0.84375;567.64014;0.10458;0.87500;752.09710;0.14806;0.87500
412.81310;0.05639;0.84375;567.64014;0.10932;0.87500;752.09710;0.16686;0.87500
412.81310;0.05804;0.84375;567.64014;0.18192;0.87500;752.09710;0.19085;0.84375
412.81310;0.03142;0.84375;567.64014;0.19177;0.87500;752.09710;0.09967;0.84375
612.63110;0.04105;0.81250;567.64014;0.19789;0.87500;752.09710;0.01368;0.84375
612.63110;0.07034;0.81250;1056.84670;0.20897;0.87500;1253.01660;0.01325;0.84375
612.63110;0.08631;0.81250;1056.84670;0.25298;0.87500;1253.01660;0.04365;0.84375
612.63110;0.02802;0.81250;1056.84670;0.25507;0.87500;1253.01660;0.06473;0.84375
612.63110;0.02637;0.81250;1056.84670;0.30414;0.87500;1253.01660;0.09322;0.84375
438.14100;0.04936;0.81250;1056.84670;0.28154;0.87500;1253.01660;0.11883;0.84375
438.14100;0.00178;0.81250;1953.12880;0.33156;0.87500;1408.09560;0.13956;0.84375
438.14100;0.04340;0.81250;1953.12880;0.35764;0.84375;1408.09560;0.15885;0.84375
438.14100;0.02872;0.81250;1953.12880;0.21537;0.81250;1408.09560;0.15203;0.81250
438.14100;0.03964;0.81250;1953.12880;0.03716;0.81250;1408.09560;0.01982;0.81250
475.78104;0.01696;0.81250;1953.12880;0.12601;0.81250;1408.09560;0.10582;0.81250
475.78104;0.01976;0.81250;2513.91500;0.11858;0.81250;1579.26090;0.02846;0.81250
475.78104;0.05093;0.81250;2513.91500;0.08256;0.81250;1579.26090;0.09877;0.81250
475.78104;0.14966;0.78125;2513.91500;0.01058;0.81250;1579.26090;0.03401;0.81250
475.78104;0.24222;0.78125;2513.91500;0.04222;0.81250;1579.26090;0.00889;0.81250
576.72864;0.10966;0.78125;2513.91500;0.04285;0.81250;1579.26090;0.01888;0.81250
576.72864;0.19943;0.75000;2534.49780;0.00426;0.81250;1319.62370;0.00213;0.78125
576.72864;0.21458;0.75000;2534.49780;0.04931;0.81250;1319.62370;0.28333;0.78125
576.72864;0.05658;0.71875;2534.49780;0.09066;0.81250;1319.62370;0.25290;0.78125
576.72864;0.01734;0.71875;2534.49780;0.05871;0.81250;1319.62370;0.23015;0.78125
986.78394;0.31193;0.71875;2534.49780;0.03211;0.81250;1319.62370;0.19921;0.75000
986.78394;0.30071;0.71875;2238.51680;0.11719;0.81250;1466.68960;0.08049;0.75000
986.78394;0.07278;0.71875;2238.51680;0.19177;0.81250;1466.68960;0.25823;0.71875
986.78394;0.08442;0.71875;2238.51680;0.05711;0.71875;1466.68960;0.31657;0.68750
986.78394;0.09585;0.71875;2238.51680;0.24298;0.71875;1466.68960;0.26984;0.68750
446.61010;0.00420;0.71875;2238.51680;0.00841;0.71875;1466.68960;0.13213;0.68750
446.61010;0.00887;0.68750;1716.72310;0.22045;0.71875;1037.06510;0.15721;0.68750
446.61010;0.02894;0.68750;1716.72310;0.12558;0.71875;1037.06510;0.03819;0.68750
446.61010;0.03533;0.68750;1716.72310;0.00627;0.71875;1037.06510;0.03476;0.68750
446.61010;0.00112;0.68750;1716.72310;0.03367;0.71875;1037.06510;0.03143;0.65625
441.56146;0.04410;0.68750;1716.72310;0.10198;0.71875;1037.06510;0.02205;0.65625
441.56146;0.02770;0.68750;1335.50450;0.04834;0.71875;482.43112;0.06301;0.65625
441.56146;0.02730;0.68750;1335.50450;0.05353;0.71875;482.43112;0.02409;0.65625
441.56146;0.03483;0.68750;1335.50450;0.09499;0.71875;482.43112;0.03852;0.65625
441.56146;0.08597;0.68750;1335.50450;0.13516;0.71875;482.43112;0.02848;0.65625
498.07710;0.01481;0.65625;1335.50450;0.12206;0.71875;482.43112;0.04290;0.65625
498.07710;0.03561;0.65625;1488.35940;0.14092;0.71875;416.62552;0.00150;0.65625
498.07710;0.04790;0.65625;1488.35940;0.18914;0.68750;416.62552;0.01877;0.62500
498.07710;0.01170;0.68750;1488.35940;0.00682;0.68750;416.62552;0.00000;0.68750
498.07710;0.14368;0.68750;1488.35940;0.08190;0.68750;416.62552;0.01657;0.68750
490.02393;0.02736;0.65625;1488.35940;0.11368;0.68750;416.62552;0.03352;0.68750
490.02393;0.01023;0.65625;1700.44020;0.01023;0.68750;448.10440;0.11038;0.68750
490.02393;0.06551;0.65625;1700.44020;0.02428;0.68750;448.10440;0.05625;0.65625
490.02393;0.00315;0.65625;1700.44020;0.01352;0.68750;448.10440;0.00183;0.65625
490.02393;0.02404;0.65625;1700.44020;0.01425;0.68750;448.10440;0.03650;0.65625
499.99133;0.09310;0.62500;1700.44020;0.05534;0.68750;448.10440;0.00668;0.65625
499.99133;0.09555;0.59375;1570.54210;0.04410;0.68750;639.28090;0.02284;0.65625
499.99133;0.03889;0.59375;1570.54210;0.05684;0.68750;639.28090;0.52918;0.65625
499.99133;0.04251;0.56250;1570.54210;0.05219;0.68750;639.28090;0.01410;0.65625
499.99133;0.02575;0.56250;1570.54210;0.08929;0.68750;639.28090;0.09175;0.62500
493.40805;0.01889;0.53125;1570.54210;0.08337;0.68750;639.28090;0.02865;0.62500
493.40805;0.01416;0.53125;1615.28430;0.05140;0.68750;732.70850;0.01355;0.62500
493.40805;0.08753;0.53125;1615.28430;0.13229;0.68750;732.70850;0.11817;0.62500
493.40805;0.02999;0.65625;1615.28430;0.14483;0.65625;732.70850;0.06835;0.53125
493.40805;0.03509;0.62500;1615.28430;0.13216;0.65625;732.70850;0.02920;0.53125
466.06420;0.19493;0.62500;1615.28430;0.08266;0.65625;732.70850;0.06940;0.53125
466.06420;0.09665;0.59375;1888.32390;0.03805;0.65625;854.51040;0.08497;0.50000
466.06420;0.02293;0.56250;1888.32390;0.11617;0.65625;854.51040;0.00647;0.46875
466.06420;0.05415;0.53125;1888.32390;0.10460;0.65625;854.51040;0.09211;0.43750
466.06420;0.02938;0.53125;1888.32390;0.12266;0.65625;854.51040;0.23553;0.43750
620.37756;0.07358;0.53125;1888.32390;0.14353;0.65625;854.51040;0.19133;0.43750
620.37756;0.02366;0.53125;2317.30710;0.17921;0.65625;613.47687;0.02175;0.40625
620.37756;0.04295;0.53125;2317.30710;0.09407;0.65625;613.47687;0.03548;0.40625
620.37756;0.36944;0.53125;2317.30710;0.09183;0.65625;613.47687;0.02875;0.40625
620.37756;0.33333;0.53125;2317.30710;0.07396;0.65625;613.47687;0.04171;0.37500
