,ANN,BAYESIAN,SDG
,"0,255","0,259","0,248"
,"0,246","0,063","0,248"
,"0,246","0,246","0,208"
,"0,246","0,247","0,218"
,"0,050","0,240","0,214"
,"0,242","0,259","0,213"
,"0,233","0,247","0,216"
,"0,245","0,234","0,206"
,"0,209","0,251","0,205"
,"0,237","0,250","0,216"
,"0,237","0,255","0,208"
,"0,222","0,228","0,207"
,"0,238","0,233","0,202"
,"0,226","0,255","0,195"
,"0,234","0,247","0,201"
,"0,234","0,255","0,203"
,"0,223","0,243","0,201"
,"0,227","0,237","0,167"
,"0,231","0,251","0,165"
,"0,223","0,244","0,168"
,"0,218","0,249","0,166"
,"0,212","0,252","0,166"
,"0,212","0,241","0,149"
,"0,208","0,246","0,150"
,"0,212","0,247","0,157"
,"0,195","0,245","0,150"
,"0,189","0,245","0,144"
,"0,197","0,246","0,128"
,"0,189","0,242","0,122"
,"0,212","0,237","0,116"
,"0,170","0,222","0,110"
,"0,183","0,229","0,107"
,"0,215","0,209","0,043"
,"0,199","0,207","0,038"
,"0,199","0,178","0,021"
,"0,211","0,174","0,048"
,"0,183","0,172","0,074"
,"0,171","0,157","-0,042"
,"0,163","0,140","-0,051"
,"0,187","0,139","-0,058"
,"0,187","0,119","-0,066"
,"0,192","0,128","-0,074"
,"0,212","0,090","-0,116"
,"0,196","0,070","-0,122"
,"0,200","0,118","-0,129"
,"0,196","0,189","-0,089"
,"0,201","0,153","-0,115"
,"0,201","0,145","-0,131"
,"0,189","0,159","-0,153"
,"0,140","0,188","-0,133"
,"0,104","0,175","-0,126"
,"0,148","0,175","-0,129"
,"0,103","0,190","-0,073"
,"0,099","0,172","-0,157"
,"0,150","0,155","-0,148"
,"0,166","0,168","-0,141"
,"0,020","0,179","-0,141"
,"0,024","0,151","-0,140"
,"0,116","0,121","-0,203"
,"0,112","0,147","-0,230"
,"0,104","0,072","-0,216"
,"0,183","0,166","-0,174"
,"0,170","0,092","-0,082"
,"0,162","0,130","-0,046"
,"0,158","0,178","-0,045"
,"0,174","0,167","-0,054"
,"0,158","0,140","-0,051"
,"0,162","0,169","0,066"
,"0,162","0,167","0,078"
,"0,162","0,150","0,073"
,"0,138","0,134","0,076"
,"0,156","0,139","0,072"
,"0,144","0,129","0,099"
,"0,140","0,100","0,085"
,"0,166","0,173","0,109"
,"0,114","0,143","0,104"
,"0,149","0,130","0,099"
,"0,157","0,167","0,069"
,"0,133","0,162","0,076"
,"0,161","0,166","0,092"
,"0,153","0,166","0,082"
,"0,115","0,149","0,091"
,"0,102","0,156","0,041"
,"0,126","0,151","-0,110"
,"0,116","0,153","0,044"
,"0,120","0,138","0,011"
,"0,115","0,141","0,030"
,"0,119","0,153","0,013"
,"0,087","0,120","-0,018"
,"0,149","0,106","-0,031"
,"0,135","0,111","-0,020"
,"0,077","0,130","-0,032"
,"0,104","0,143","-0,074"
,"0,127","0,112","-0,060"
,"0,105","0,116","-0,095"
,"0,113","0,109","-0,138"
,"0,086","0,100","-0,125"
,"0,106","0,078","-0,027"
,"0,098","0,112","-0,031"
,"-0,034","0,112","-0,029"
,"-0,018","0,120","-0,043"
,"-0,012","0,140","-0,041"
,"0,116","0,101","0,014"
,"0,097","0,089","0,028"
,"0,101","0,049","0,071"
,"0,092","0,082","0,012"
,"0,115","0,090","0,064"
,"0,123","0,095","0,058"
,"0,107","0,061","0,058"
,"0,119","0,099","0,047"
,"0,111","0,103","0,043"
,"0,099","0,100","0,039"
,"0,123","0,090","0,010"
,"0,101","0,092","-0,002"
,"0,085","0,084","0,015"
,"0,087","0,069","0,018"
,"0,073","0,092","0,006"
,"0,089","0,090","0,020"
,"0,101","0,099","0,017"
,"0,117","0,100","0,044"
,"0,065","0,095","-0,008"
,"0,121","0,097","0,051"
,"0,129","0,091","-0,001"
,"0,113","0,087","-0,006"
,"0,121","0,097","0,011"
,"0,117","0,096","0,004"
,"0,097","0,080","0,003"
,"0,096","0,065","0,009"
,"0,104","0,076","0,000"
,"0,084","0,079","0,003"
,"0,083","0,093","-0,003"
,"0,054","0,086","0,003"
,"0,080","0,071","-0,001"
,"0,075","0,085","-0,007"
,"0,122","0,082","0,038"
,"0,026","0,083","-0,019"
,"0,093","0,082","0,027"
,"0,121","0,072","-0,030"
,"0,125","0,059","0,009"
,"0,108","0,062","0,014"
,"0,102","0,057","0,006"
,"0,054","0,068","0,002"
,"0,082","-0,062","0,015"
,"0,040","0,095","0,006"
,"0,052","0,063","0,000"
,"0,075","-0,023","0,001"
,"0,072","-0,038","-0,008"
,"0,076","0,067","0,011"
,"0,072","0,060","0,007"
,"0,122","0,051","0,007"
,"0,022","0,073","0,005"
,"0,078","0,084","0,008"
,"0,117","0,063","0,001"
,"0,089","0,059","-0,018"
,"0,075","0,061","-0,022"
,"0,079","0,062","-0,009"
,"0,037","0,065","-0,039"
,"0,065","0,041","-0,034"
,"0,089","0,050","-0,043"
,"0,030","0,065","-0,039"
,"0,062","0,059","-0,040"
,"0,076","0,042","-0,042"
,"0,072","0,044","-0,034"
,"0,066","0,055","-0,056"
,"0,122","0,058","0,020"
,"-0,014","0,052","-0,013"
,"0,077","0,051","-0,023"
,"0,100","0,028","-0,009"
,"0,099","0,062","0,001"
,"0,103","0,045","0,001"
,"0,043","0,050","-0,011"
,"0,043","0,046","-0,028"
,"0,031","0,049","-0,015"
,"0,044","0,033","-0,008"
,"0,048","0,054","-0,027"
,"0,024","0,057","-0,029"
,"0,045","0,055","-0,030"
,"0,043","0,033","-0,031"
,"0,055","0,050","-0,035"
,"0,123","0,043","0,007"
,"-0,017","0,039","-0,005"
,"0,056","0,033","-0,027"
,"0,107","0,037","-0,064"
,"0,094","0,056","-0,004"
,"0,050","0,037","-0,009"
,"0,082","0,041","-0,013"
,"0,049","0,033","-0,027"
,"0,037","0,044","-0,023"
,"0,063","0,050","-0,052"
,"0,054","0,035","-0,040"
,"0,034","0,048","-0,035"
,"0,071","0,048","-0,039"
,"0,057","0,017","-0,024"
,"0,061","0,042","-0,030"
,"0,105","0,044","0,117"
,"-0,015","0,041","0,021"
,"0,081","0,046","0,038"
,"0,108","0,036","0,030"
,"0,072","0,039","0,043"
,"0,063","0,025","0,033"
,"0,099","0,023","0,046"
,"0,070","0,020","0,037"
